NH_NAME,NH_NUMBER
Industrial Sector D,072
Industrial Sector C,071
Industrial Sector K,078
Confederation Park A,027
Beasley,010
Westdale South,136
Industrial Sector F,074
Dundurn A,038
Hamilton Beach A,058
Hamilton Beach B,059
Dundurn B,039
Industrial Sector N,081
Industrial Sector B and Keith,070
Westdale North,135
North End East,106
Hamilton Beach C,060
North End West,107
Industrial Sector M,080
Industrial Sector L,079
Stipley,126
Crown Point West,035
Dundurn C,040
Strathcona,127
Industrial Sector A and Keith,069
Cootes Paradise B,030
Cootes Paradise A,029
Central,021
Industrial Sector J,077
Landsdale,095
Bonnington,013
Grayside,054
Riverdale West,115
Industrial Sector E and McAnulty,073
Normanhurst,105
Kirkendall South,093
St. Clair,124
Confederation Park B,028
Nashdale,104
Blakeley,012
Chedoke Park A,025
McQuesten East,099
McQuesten West,100
Inch Park,068
Yeoville,137
Macassa,098
Red Hill,113
Industrial Sector H,076
Industrial Sector G,075
Parkview East,108
Parkview West,109
Gibson,048
Ainslie Wood East,002
Ainslie Wood North,003
Durand,041
Kirkendall North,092
Ainslie Wood West,004
Ainslie Wood,001
Corktown,031
Chedoke Park B,026
Crown Point East,034
Stinson,125
Homeside,066
Glenview West,052
Balfour,007
Corman,032
Riverdale East,114
Gilbert,049
Burkholme,018
Rosedale,117
Rolston,116
Greenford,055
Rymal,120
Greeningdon,056
Glenview East,051
Centremount,022
Southam,123
Mountview,103
Westcliffe West,134
Mohawk,102
Westcliffe East,133
Eastmount,042
Delta West,037
Delta East,036
Raleigh,111
Kentley,085
Sunninghill,128
Bartonville,009
Rushdale,118
Ryckmans,119
Mewburn,101
Fessenden,046
Hill Park,065
Sherwood,122
Lakely,094
Buchanan,017
Chappel East,023
Broughton West,015
Hannon North,062
King's Forest Lower C,089
King's Forest Lower D,090
Carpenter,020
Falkirk West,045
Berrisfield,011
Jerome,082
Gershome,047
Lisgar,097
Crerar,033
Sheldon,121
King's Forest Upper,091
King's Forest Lower B,088
Barnstown,008
Randall,112
Trenholme,131
Quinndale,110
Kennedy West,084
Butler,019
Albion Falls,005
Kennedy East,083
Templemead,129
Eleanor,043
Chappel West,024
Allison,006
Hampton Heights,061
Bruleville,016
Huntington,067
Gurnett,057
Vincent,132
Thorner,130
Gilkson,050
King's Forest Lower A,087
Lawfield,096
Gourley,053
Kernighan,086
Falkirk East,044
Broughton East,014
Hannon West,064
Hannon South,063
